id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mcl298,microbiology_culture,organism_category,gardnerella_vaginalis,gardnerella_vaginalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl299,microbiology_culture,organism_category,gemella_morbillorum,gemella_morbillorum,2.1;3.0,,active,,,,,UNMAPPED,
mcl300,microbiology_culture,organism_category,gemella_sp,gemella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl301,microbiology_culture,organism_category,geotrichum_sp,geotrichum_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl302,microbiology_culture,organism_category,globicatella_sanguinis,globicatella_sanguinis,2.1;3.0,,active,,,,,UNMAPPED,
mcl303,microbiology_culture,organism_category,gordonia_bronchialis,gordonia_bronchialis,2.1;3.0,,active,,,,,UNMAPPED,
mcl304,microbiology_culture,organism_category,gordonia_sp,gordonia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl305,microbiology_culture,organism_category,gram_negative_diplococci,gram_negative_diplococci,2.1;3.0,,active,,,,,UNMAPPED,
mcl306,microbiology_culture,organism_category,gram_negative_rod,gram_negative_rod,2.1;3.0,,active,,,,,UNMAPPED,
mcl307,microbiology_culture,organism_category,gram_positive_cocci,gram_positive_cocci,2.1;3.0,,active,,,,,UNMAPPED,
mcl308,microbiology_culture,organism_category,gram_positive_rod,gram_positive_rod,2.1;3.0,,active,,,,,UNMAPPED,
mcl309,microbiology_culture,organism_category,granulicatella_adiacens,granulicatella_adiacens,2.1;3.0,,active,,,,,UNMAPPED,
mcl310,microbiology_culture,organism_category,granulicatella_elegans,granulicatella_elegans,2.1;3.0,,active,,,,,UNMAPPED,
mcl311,microbiology_culture,organism_category,haemophilus_haemolyticus,haemophilus_haemolyticus,2.1;3.0,,active,,,,,UNMAPPED,
mcl312,microbiology_culture,organism_category,haemophilus_influenzae,haemophilus_influenzae,2.1;3.0,,active,,,,,UNMAPPED,
mcl313,microbiology_culture,organism_category,haemophilus_parainfluenzae,haemophilus_parainfluenzae,2.1;3.0,,active,,,,,UNMAPPED,
mcl314,microbiology_culture,organism_category,haemophilus_sp,haemophilus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl315,microbiology_culture,organism_category,hafnia_alvei,hafnia_alvei,2.1;3.0,,active,,,,,UNMAPPED,
mcl316,microbiology_culture,organism_category,hafnia_sp,hafnia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl317,microbiology_culture,organism_category,histoplasma_capsulatum,histoplasma_capsulatum,2.1;3.0,,active,,,,,UNMAPPED,
mcl318,microbiology_culture,organism_category,kingella_denitrificans,kingella_denitrificans,2.1;3.0,,active,,,,,UNMAPPED,
mcl319,microbiology_culture,organism_category,klebsiella_aerogenes,klebsiella_aerogenes,2.1;3.0,,active,,,,,UNMAPPED,
mcl320,microbiology_culture,organism_category,klebsiella_oxytoca,klebsiella_oxytoca,2.1;3.0,,active,,,,,UNMAPPED,
mcl321,microbiology_culture,organism_category,klebsiella_pneumoniae,klebsiella_pneumoniae,2.1;3.0,,active,,,,,UNMAPPED,
mcl322,microbiology_culture,organism_category,klebsiella_sp,klebsiella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl323,microbiology_culture,organism_category,klebsiella_variicola,klebsiella_variicola,2.1;3.0,,active,,,,,UNMAPPED,
mcl324,microbiology_culture,organism_category,kloeckera_sp,kloeckera_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl325,microbiology_culture,organism_category,kluyvera_sp,kluyvera_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl326,microbiology_culture,organism_category,kocuria_palustris,kocuria_palustris,2.1;3.0,,active,,,,,UNMAPPED,
mcl327,microbiology_culture,organism_category,kocuria_sp,kocuria_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl328,microbiology_culture,organism_category,kodamaea_ohmeri,kodamaea_ohmeri,2.1;3.0,,active,,,,,UNMAPPED,
mcl329,microbiology_culture,organism_category,lactobacillus_acidophilus,lactobacillus_acidophilus,2.1;3.0,,active,,,,,UNMAPPED,
mcl330,microbiology_culture,organism_category,lactobacillus_fermentum,lactobacillus_fermentum,2.1;3.0,,active,,,,,UNMAPPED,
mcl331,microbiology_culture,organism_category,lactobacillus_sp,lactobacillus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl332,microbiology_culture,organism_category,lactococcus_sp,lactococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl333,microbiology_culture,organism_category,leclercia_adecarboxylata,leclercia_adecarboxylata,2.1;3.0,,active,,,,,UNMAPPED,
mcl334,microbiology_culture,organism_category,legionella_bozemanae,legionella_bozemanae,2.1;3.0,,active,,,,,UNMAPPED,
mcl335,microbiology_culture,organism_category,legionella_dumoffii,legionella_dumoffii,2.1;3.0,,active,,,,,UNMAPPED,
mcl336,microbiology_culture,organism_category,legionella_feeleii,legionella_feeleii,2.1;3.0,,active,,,,,UNMAPPED,
mcl337,microbiology_culture,organism_category,legionella_pneumophila,legionella_pneumophila,2.1;3.0,,active,,,,,UNMAPPED,
mcl338,microbiology_culture,organism_category,legionella_sp,legionella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl339,microbiology_culture,organism_category,lelliottia_amigena,lelliottia_amigena,2.1;3.0,,active,,,,,UNMAPPED,
mcl340,microbiology_culture,organism_category,leptotrichia_buccalis,leptotrichia_buccalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl341,microbiology_culture,organism_category,leuconostoc_sp,leuconostoc_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl342,microbiology_culture,organism_category,lichtheimia_sp,lichtheimia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl343,microbiology_culture,organism_category,listeria_monocytogenes,listeria_monocytogenes,2.1;3.0,,active,,,,,UNMAPPED,
mcl344,microbiology_culture,organism_category,lysinibacillus_fusiformis,lysinibacillus_fusiformis,2.1;3.0,,active,,,,,UNMAPPED,
mcl345,microbiology_culture,organism_category,lysinibacillus_sp,lysinibacillus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl346,microbiology_culture,organism_category,malassezia_furfur,malassezia_furfur,2.1;3.0,,active,,,,,UNMAPPED,
mcl347,microbiology_culture,organism_category,malassezia_pachydermatis,malassezia_pachydermatis,2.1;3.0,,active,,,,,UNMAPPED,
mcl348,microbiology_culture,organism_category,microbacterium_flavescens,microbacterium_flavescens,2.1;3.0,,active,,,,,UNMAPPED,
mcl349,microbiology_culture,organism_category,microbacterium_sp,microbacterium_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl350,microbiology_culture,organism_category,micrococcus_luteus,micrococcus_luteus,2.1;3.0,,active,,,,,UNMAPPED,
mcl351,microbiology_culture,organism_category,micrococcus_sp,micrococcus_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl352,microbiology_culture,organism_category,microsporum_gypseum,microsporum_gypseum,2.1;3.0,,active,,,,,UNMAPPED,
mcl353,microbiology_culture,organism_category,microsporum_sp,microsporum_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl354,microbiology_culture,organism_category,moraxella_catarrhalis,moraxella_catarrhalis,2.1;3.0,,active,,,,,UNMAPPED,
mcl355,microbiology_culture,organism_category,moraxella_nonliquefaciens,moraxella_nonliquefaciens,2.1;3.0,,active,,,,,UNMAPPED,
mcl356,microbiology_culture,organism_category,moraxella_osloensis,moraxella_osloensis,2.1;3.0,,active,,,,,UNMAPPED,
mcl357,microbiology_culture,organism_category,moraxella_sp,moraxella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl358,microbiology_culture,organism_category,morganella_morganii,morganella_morganii,2.1;3.0,,active,,,,,UNMAPPED,
mcl359,microbiology_culture,organism_category,morganella_sp,morganella_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl360,microbiology_culture,organism_category,mucor_circinelloides,mucor_circinelloides,2.1;3.0,,active,,,,,UNMAPPED,
mcl361,microbiology_culture,organism_category,mucor_sp,mucor_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl362,microbiology_culture,organism_category,mycobacterium_abscessus,mycobacterium_abscessus,2.1;3.0,,active,,,,,UNMAPPED,
mcl363,microbiology_culture,organism_category,mycobacterium_avium,mycobacterium_avium,2.1;3.0,,active,,,,,UNMAPPED,
mcl364,microbiology_culture,organism_category,mycobacterium_chelonae,mycobacterium_chelonae,2.1;3.0,,active,,,,,UNMAPPED,
mcl365,microbiology_culture,organism_category,mycobacterium_farcinogenes,mycobacterium_farcinogenes,2.1;3.0,,active,,,,,UNMAPPED,
mcl366,microbiology_culture,organism_category,mycobacterium_fortuitum,mycobacterium_fortuitum,2.1;3.0,,active,,,,,UNMAPPED,
mcl367,microbiology_culture,organism_category,mycobacterium_gordonae,mycobacterium_gordonae,2.1;3.0,,active,,,,,UNMAPPED,
mcl368,microbiology_culture,organism_category,mycobacterium_kansasii,mycobacterium_kansasii,2.1;3.0,,active,,,,,UNMAPPED,
mcl369,microbiology_culture,organism_category,mycobacterium_kubicae,mycobacterium_kubicae,2.1;3.0,,active,,,,,UNMAPPED,
mcl370,microbiology_culture,organism_category,mycobacterium_lentiflavum,mycobacterium_lentiflavum,2.1;3.0,,active,,,,,UNMAPPED,
mcl371,microbiology_culture,organism_category,mycobacterium_llatzerense,mycobacterium_llatzerense,2.1;3.0,,active,,,,,UNMAPPED,
mcl372,microbiology_culture,organism_category,mycobacterium_malmoense,mycobacterium_malmoense,2.1;3.0,,active,,,,,UNMAPPED,
mcl373,microbiology_culture,organism_category,mycobacterium_marinum,mycobacterium_marinum,2.1;3.0,,active,,,,,UNMAPPED,
mcl374,microbiology_culture,organism_category,mycobacterium_mucogenicum,mycobacterium_mucogenicum,2.1;3.0,,active,,,,,UNMAPPED,
mcl375,microbiology_culture,organism_category,mycobacterium_neoaurum,mycobacterium_neoaurum,2.1;3.0,,active,,,,,UNMAPPED,
mcl376,microbiology_culture,organism_category,mycobacterium_paraffinicum,mycobacterium_paraffinicum,2.1;3.0,,active,,,,,UNMAPPED,
mcl377,microbiology_culture,organism_category,mycobacterium_scrofulaceum,mycobacterium_scrofulaceum,2.1;3.0,,active,,,,,UNMAPPED,
mcl378,microbiology_culture,organism_category,mycobacterium_szulgai,mycobacterium_szulgai,2.1;3.0,,active,,,,,UNMAPPED,
mcl379,microbiology_culture,organism_category,mycobacterium_tuberculosis,mycobacterium_tuberculosis,2.1;3.0,,active,,,,,UNMAPPED,
mcl380,microbiology_culture,organism_category,mycobacterium_xenopi,mycobacterium_xenopi,2.1;3.0,,active,,,,,UNMAPPED,
mcl381,microbiology_culture,organism_category,mycoplasma_hominis,mycoplasma_hominis,2.1;3.0,,active,,,,,UNMAPPED,
mcl382,microbiology_culture,organism_category,mycoplasma_sp,mycoplasma_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl383,microbiology_culture,organism_category,myroides_sp,myroides_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl384,microbiology_culture,organism_category,neisseria_gonorrhoeae,neisseria_gonorrhoeae,2.1;3.0,,active,,,,,UNMAPPED,
mcl385,microbiology_culture,organism_category,neisseria_meningitidis,neisseria_meningitidis,2.1;3.0,,active,,,,,UNMAPPED,
mcl386,microbiology_culture,organism_category,neisseria_mucosa,neisseria_mucosa,2.1;3.0,,active,,,,,UNMAPPED,
mcl387,microbiology_culture,organism_category,neisseria_sp,neisseria_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl388,microbiology_culture,organism_category,neisseria_subflava,neisseria_subflava,2.1;3.0,,active,,,,,UNMAPPED,
mcl389,microbiology_culture,organism_category,no_growth,no_growth,2.1;3.0,,active,,,,,UNMAPPED,
mcl390,microbiology_culture,organism_category,nocardia_abscessus,nocardia_abscessus,2.1;3.0,,active,,,,,UNMAPPED,
mcl391,microbiology_culture,organism_category,nocardia_brasiliensis,nocardia_brasiliensis,2.1;3.0,,active,,,,,UNMAPPED,
mcl392,microbiology_culture,organism_category,nocardia_cyriacigeorgica,nocardia_cyriacigeorgica,2.1;3.0,,active,,,,,UNMAPPED,
mcl393,microbiology_culture,organism_category,nocardia_farcinica,nocardia_farcinica,2.1;3.0,,active,,,,,UNMAPPED,
mcl394,microbiology_culture,organism_category,nocardia_nova,nocardia_nova,2.1;3.0,,active,,,,,UNMAPPED,
mcl395,microbiology_culture,organism_category,nocardia_sp,nocardia_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl396,microbiology_culture,organism_category,nocardia_thailandica,nocardia_thailandica,2.1;3.0,,active,,,,,UNMAPPED,
mcl397,microbiology_culture,organism_category,nocardia_veterana,nocardia_veterana,2.1;3.0,,active,,,,,UNMAPPED,
mcl398,microbiology_culture,organism_category,nocardia_wallacei,nocardia_wallacei,2.1;3.0,,active,,,,,UNMAPPED,
mcl399,microbiology_culture,organism_category,ochraconis_sp,ochraconis_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl400,microbiology_culture,organism_category,ochrobactrum_anthropi,ochrobactrum_anthropi,2.1;3.0,,active,,,,,UNMAPPED,
mcl401,microbiology_culture,organism_category,ochrobactrum_intermedium,ochrobactrum_intermedium,2.1;3.0,,active,,,,,UNMAPPED,
mcl402,microbiology_culture,organism_category,ochrobactrum_sp,ochrobactrum_sp,2.1;3.0,,active,,,,,UNMAPPED,
mcl403,microbiology_culture,organism_category,odoribacter_splanchnicus,odoribacter_splanchnicus,2.1;3.0,,active,,,,,UNMAPPED,
